user_id,age,gender,location,registration_date,last_login_date,subscription_type,subscription_start_date,subscription_end_date,payment_amount,payment_date,engagement_score,activity_level,device_type,app_version,purchase_category,purchase_amount,purchase_date,revenue_source,referrer
20,43,Genderfluid,Room 1239,10/7/2021,5/1/2021,pro,8/22/2021,1/21/2021,612.45,2/1/2021,60,low,LG,0.1.6,healthy snacks,392.72,12/25/2021,ads,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0
21,57,Female,PO Box 81070,11/16/2020,10/28/2020,premium,11/30/2020,8/26/2021,115.82,7/14/2021,49,medium,Sony,0.84,supplements,96.84,12/1/2021,subscription fees,"Mozilla/5.0 (X11; CrOS i686 0.13.587) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.14 Safari/535.1"
22,37,Male,Room 771,9/22/2021,4/27/2020,basic,10/11/2020,9/14/2020,663.44,8/15/2021,54,high,Gigabyte,0.46,supplements,54.13,1/28/2020,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10"
23,23,Female,PO Box 11577,8/18/2021,6/18/2021,premium,6/11/2020,8/17/2020,293.72,8/5/2021,55,low,Allview,0.3.6,fitness equipment,180.86,11/18/2020,subscription fees,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.34 Safari/534.24"
24,55,Male,Room 810,1/13/2020,1/3/2021,pro,8/31/2020,2/8/2021,535.96,7/15/2021,82,medium,Lenovo,0.31,supplements,366.29,3/17/2021,subscription fees,"Mozilla/5.0 (X11; CrOS i686 0.13.587) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.14 Safari/535.1"
25,47,Female,PO Box 58252,1/6/2020,5/26/2021,premium,12/26/2021,9/10/2020,439.5,3/5/2021,34,medium,Samsung,0.2.0,healthy snacks,82.55,5/21/2021,in-app purchases,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3"
26,70,Male,Room 1108,8/4/2020,6/5/2020,basic,6/25/2021,8/4/2020,220.17,1/2/2020,36,high,ZTE,2.3.2,healthy snacks,409.61,7/22/2021,in-app purchases,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1"
27,81,Male,Room 1898,9/1/2020,7/20/2021,basic,8/20/2020,3/2/2021,116.76,5/11/2020,12,high,BLU,0.3.9,supplements,382.57,6/3/2021,subscription fees,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10.5; en-US; rv:1.9.1b3pre) Gecko/20081212 Mozilla/5.0 (Windows; U; Windows NT 5.1; en) AppleWebKit/526.9 (KHTML, like Gecko) Version/4.0dp1 Safari/526.8"
28,35,Female,4th Floor,3/24/2021,6/28/2020,premium,5/13/2020,10/29/2021,126.36,12/26/2020,81,medium,Huawei,7.6,healthy snacks,183.28,9/18/2020,ads,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
29,45,Female,PO Box 22437,9/18/2020,11/23/2021,pro,8/6/2020,8/14/2020,174.18,3/10/2021,1,low,Celkon,7.8.8,healthy snacks,151.26,3/30/2020,in-app purchases,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1468.0 Safari/537.36"
30,58,Female,7th Floor,8/3/2020,8/29/2021,premium,1/16/2020,1/3/2021,766.63,4/12/2020,26,low,Amoi,9.1,supplements,459.56,7/10/2021,ads,Mozilla/5.0 (X11; Linux i586; rv:31.0) Gecko/20100101 Firefox/31.0
31,38,Male,Room 376,10/2/2021,12/16/2021,pro,1/16/2020,5/10/2021,734.22,1/21/2020,0,low,verykool,6.81,supplements,76.43,1/5/2020,ads,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Ubuntu/10.10 Chromium/12.0.702.0 Chrome/12.0.702.0 Safari/534.24"
32,75,Female,8th Floor,7/6/2020,4/27/2021,pro,12/8/2021,12/24/2021,548.5,5/24/2021,49,medium,Allview,0.4,fitness equipment,147.43,4/10/2020,in-app purchases,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0.1) Gecko/20121011 Firefox/21.0.1
33,85,Male,Room 1277,5/4/2021,3/4/2021,pro,7/31/2021,11/11/2021,957.86,11/26/2020,89,low,Sendo,0.46,fitness equipment,462.43,2/14/2020,subscription fees,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
34,29,Male,3rd Floor,2/12/2021,8/22/2021,premium,5/30/2020,6/16/2020,843.95,7/22/2021,15,low,Huawei,8.3.1,supplements,476.86,3/19/2021,ads,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
35,22,Male,Suite 12,8/14/2020,10/31/2020,premium,11/11/2021,4/7/2020,434.29,8/28/2021,90,medium,LG,1.5.7,fitness equipment,196,8/7/2021,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.68 Safari/534.30"
36,46,Polygender,Apt 1251,8/31/2020,12/14/2021,premium,10/5/2021,1/14/2020,600.9,11/3/2021,64,high,alcatel,0.74,supplements,31.35,9/13/2020,ads,Mozilla/5.0 (Windows NT 6.0; rv:14.0) Gecko/20100101 Firefox/14.0.1
37,63,Male,Suite 30,7/31/2020,9/13/2020,basic,8/24/2020,8/22/2020,848.59,2/9/2020,13,low,Kyocera,0.28,healthy snacks,3.89,6/16/2021,subscription fees,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.113 Safari/534.30"
38,37,Male,Room 1597,10/9/2021,1/4/2021,pro,8/26/2021,1/1/2020,485.74,1/4/2021,90,low,ZTE,2.15,supplements,284.41,9/12/2020,in-app purchases,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1284.0 Safari/537.13"
39,79,Male,Apt 90,3/16/2020,3/5/2020,premium,10/16/2020,10/1/2021,632.59,2/17/2020,50,high,LG,8.7.9,healthy snacks,353.26,9/16/2021,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.21 (KHTML, like Gecko) Chrome/11.0.678.0 Safari/534.21"
40,80,Female,10th Floor,2/24/2020,6/1/2020,pro,1/4/2021,5/28/2021,836.87,6/1/2020,58,low,Allview,0.18,supplements,271.57,10/21/2021,subscription fees,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Ubuntu/11.04 Chromium/17.0.963.56 Chrome/17.0.963.56 Safari/535.11"
41,40,Male,PO Box 15804,1/11/2020,3/19/2020,pro,8/17/2021,10/4/2021,937.82,8/11/2020,89,low,YU,1.2,healthy snacks,88.01,8/1/2020,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.803.0 Safari/535.1"
42,61,Male,Room 1493,1/6/2021,11/5/2020,pro,8/12/2020,11/24/2021,676.02,4/12/2020,31,high,Sharp,1.4,fitness equipment,275.8,11/22/2020,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/533.17.8 (KHTML, like Gecko) Version/5.0.1 Safari/533.17.8"
43,19,Bigender,Suite 33,1/22/2020,11/27/2020,pro,9/6/2021,4/14/2021,304.39,9/9/2021,77,medium,BLU,0.4.7,healthy snacks,99.12,2/10/2020,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.790.0 Safari/535.1"
44,47,Male,Room 1018,4/12/2020,6/7/2020,pro,12/2/2020,7/6/2020,879.59,2/4/2021,7,high,Oppo,5.17,supplements,171.34,9/11/2020,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
45,82,Male,Apt 646,11/12/2021,7/26/2021,premium,6/28/2020,11/7/2021,820.65,12/6/2020,68,high,Celkon,7.9.1,supplements,430.75,9/12/2021,subscription fees,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
46,43,Male,Room 1519,10/10/2021,7/2/2020,basic,4/2/2021,1/12/2020,35.26,7/16/2020,63,low,Sony,0.74,healthy snacks,377.7,5/14/2020,in-app purchases,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0a2) Gecko/20111101 Firefox/9.0a2
47,53,Male,5th Floor,1/16/2021,3/23/2021,basic,10/15/2020,12/12/2020,486.33,5/18/2020,71,medium,Siemens,0.13,healthy snacks,205.38,4/6/2020,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 5.1; ja-JP) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
48,46,Male,Room 97,8/29/2020,10/14/2020,basic,7/3/2021,11/27/2021,799.38,7/22/2020,9,low,ZTE,8.9.2,fitness equipment,33.75,11/4/2020,subscription fees,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.113 Safari/534.30"
49,100,Male,7th Floor,12/3/2020,7/9/2021,premium,7/28/2021,9/21/2021,374.44,1/9/2020,61,low,Micromax,4.1,supplements,132.63,3/11/2020,subscription fees,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.699.0 Safari/534.24"
50,72,Genderqueer,PO Box 66461,9/14/2021,11/10/2021,pro,9/23/2021,11/14/2020,832.45,2/29/2020,10,low,BLU,0.7.3,healthy snacks,206.67,3/24/2021,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
51,40,Male,Suite 16,10/1/2021,8/17/2021,premium,2/1/2020,9/20/2020,855.29,11/8/2021,78,low,Nokia,0.69,healthy snacks,241.58,9/11/2020,ads,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.15 (KHTML, like Gecko) Chrome/24.0.1295.0 Safari/537.15"
52,25,Male,Room 1494,9/5/2020,1/26/2020,basic,2/9/2020,9/6/2020,843.71,2/13/2020,59,high,Acer,2.68,fitness equipment,146.93,5/31/2020,in-app purchases,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.9 Safari/536.5"
53,77,Female,Apt 556,3/31/2020,2/28/2020,premium,1/24/2021,12/3/2020,921.59,9/17/2020,56,low,VK,0.2.1,healthy snacks,123.84,11/10/2020,subscription fees,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2_1 like Mac OS X; he-il) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5"
54,28,Male,Suite 62,11/28/2021,12/10/2021,basic,1/16/2021,5/18/2020,702.71,6/4/2021,35,high,LG,0.3,supplements,441.82,5/30/2020,in-app purchases,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7xs5D9rRDFpg2g"
55,83,Male,Suite 2,11/2/2021,12/15/2020,basic,11/2/2021,4/22/2020,509.19,12/25/2020,53,high,Samsung,0.58,fitness equipment,446.95,11/5/2020,ads,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.45 Safari/535.19"
56,69,Female,Suite 2,6/28/2021,6/10/2020,premium,3/9/2020,7/17/2020,593.23,1/29/2020,95,medium,Infinix,8,supplements,366.23,3/12/2020,in-app purchases,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30"
57,44,Male,Room 1232,5/20/2021,8/29/2020,premium,5/24/2020,3/17/2020,70.59,2/7/2020,67,low,vivo,8.4,fitness equipment,338.18,2/7/2021,in-app purchases,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0
58,39,Male,Apt 590,7/31/2021,10/25/2020,pro,2/1/2020,6/6/2021,671.21,7/18/2020,57,medium,Prestigio,0.21,supplements,216.1,3/1/2021,in-app purchases,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1"
59,85,Male,Room 1015,3/17/2020,2/22/2020,basic,5/4/2020,4/12/2020,5.3,8/27/2021,25,high,BLU,2.1,supplements,472.96,8/20/2020,ads,Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20130331 Firefox/21.0
60,68,Female,Suite 52,1/18/2020,12/12/2020,pro,5/26/2020,1/16/2021,418.29,3/20/2020,39,medium,Sony,5.26,healthy snacks,69.99,8/8/2020,in-app purchases,Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0
61,97,Male,PO Box 14506,4/12/2021,3/27/2020,pro,8/14/2021,5/30/2020,781.03,8/31/2020,19,high,Gionee,0.4.1,fitness equipment,417.66,3/23/2021,in-app purchases,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.34 Safari/534.24"
62,30,Male,Apt 1542,12/3/2020,7/25/2021,basic,7/4/2020,9/7/2021,647.4,7/24/2021,54,medium,Samsung,0.7.7,supplements,170.42,12/7/2020,in-app purchases,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/20.0.1092.0 Safari/536.6"
63,94,Female,Room 126,5/18/2020,2/14/2021,pro,10/11/2021,5/11/2020,747.84,4/22/2021,34,medium,Samsung,0.64,fitness equipment,206.69,9/25/2020,in-app purchases,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.215 Safari/535.1"
64,69,Male,PO Box 36082,9/25/2020,6/29/2021,basic,4/9/2020,6/12/2021,62.59,2/14/2021,32,high,alcatel,4.1.0,supplements,211.08,1/1/2021,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 6.0; ja-JP) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16"
65,18,Female,2nd Floor,7/12/2020,10/11/2021,basic,2/9/2020,2/11/2021,286,3/6/2020,10,low,Samsung,0.39,healthy snacks,438.05,9/27/2020,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
66,81,Male,Room 1473,7/3/2021,11/13/2021,premium,1/3/2020,10/18/2021,859.26,8/8/2020,10,medium,LG,0.1.2,fitness equipment,180.5,8/12/2021,ads,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
67,22,Female,14th Floor,9/6/2020,2/21/2020,pro,7/31/2020,6/16/2020,967.56,10/25/2021,84,medium,Sagem,3.94,healthy snacks,432.98,7/6/2021,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
68,31,Female,Room 1545,2/23/2020,8/24/2020,premium,1/22/2020,1/11/2020,478.35,9/3/2020,22,low,Tecno,0.19,supplements,143.56,5/12/2020,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.801.0 Safari/535.1"
69,38,Female,PO Box 5922,6/7/2020,7/11/2021,basic,8/11/2020,3/21/2020,366.98,1/4/2020,99,high,Toshiba,4.37,fitness equipment,240.54,1/28/2021,ads,"Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
70,53,Female,11th Floor,11/19/2021,10/25/2020,premium,5/8/2021,9/28/2020,289.09,9/30/2021,69,low,Samsung,0.2.5,fitness equipment,278.43,10/16/2021,subscription fees,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; zh-cn) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
71,56,Male,Apt 75,11/5/2021,7/14/2021,pro,2/25/2020,6/25/2020,877.23,4/14/2021,88,high,Micromax,2.8,healthy snacks,249.79,12/16/2020,ads,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
72,61,Male,Room 22,12/20/2021,3/11/2021,basic,7/29/2020,1/6/2020,775.14,6/26/2020,52,medium,Samsung,9.6,healthy snacks,243.85,12/21/2020,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.24 Safari/535.1"
73,100,Female,Room 1029,9/13/2020,5/9/2021,premium,3/15/2020,12/18/2021,590.26,4/15/2020,87,low,Cat,8.09,supplements,329.62,2/15/2020,ads,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/13.0.748.0 Safari/534.31"
74,39,Male,Suite 37,1/15/2020,10/8/2021,basic,3/4/2020,4/24/2021,231.54,11/22/2021,87,high,ZTE,9.78,supplements,462.16,11/20/2020,ads,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1"
75,86,Female,PO Box 41499,3/29/2020,1/9/2020,pro,2/18/2021,8/20/2021,331.3,11/15/2020,45,low,LG,0.93,supplements,449.06,12/24/2021,ads,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10.5; en-US; rv:1.9.1b3pre) Gecko/20081212 Mozilla/5.0 (Windows; U; Windows NT 5.1; en) AppleWebKit/526.9 (KHTML, like Gecko) Version/4.0dp1 Safari/526.8"
76,83,Female,7th Floor,6/20/2020,4/3/2021,premium,8/27/2021,3/22/2021,731.15,3/9/2020,19,medium,vivo,2.25,healthy snacks,305.37,8/17/2020,ads,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3_3 like Mac OS X; ja-jp) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5"
77,68,Female,PO Box 49279,3/4/2021,6/5/2021,pro,6/6/2020,4/29/2021,813.04,7/27/2020,50,low,LG,0.7,fitness equipment,367.8,1/2/2021,in-app purchases,"Mozilla/5.0 (X11; U; Linux x86_64; en-us) AppleWebKit/531.2+ (KHTML, like Gecko) Version/5.0 Safari/531.2+"
78,90,Male,Room 1639,4/4/2020,7/26/2020,basic,10/31/2021,7/25/2021,548.43,8/18/2021,1,low,Samsung,0.84,supplements,230.47,6/21/2020,in-app purchases,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; ko-kr) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16"
79,85,Male,Suite 92,8/31/2020,4/1/2021,premium,12/31/2020,7/3/2021,172.82,12/3/2021,100,high,Pantech,6.8,healthy snacks,303.52,5/7/2020,ads,"Mozilla/5.0 (Android 2.2; Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
80,28,Male,Suite 37,10/25/2021,9/15/2020,premium,8/25/2020,1/31/2020,723.53,6/15/2021,75,medium,HTC,0.96,supplements,139.54,6/15/2020,ads,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.861.0 Safari/535.2"
81,86,Female,PO Box 76548,1/30/2020,5/5/2020,basic,1/17/2020,4/30/2021,930.07,4/8/2020,11,medium,alcatel,7.9,fitness equipment,133.28,11/14/2020,ads,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
82,73,Female,Apt 450,6/8/2021,5/5/2020,pro,6/1/2020,2/4/2021,943.76,7/28/2021,15,medium,vivo,5.28,supplements,417.4,6/18/2021,in-app purchases,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3 like Mac OS X; pl-pl) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8F190 Safari/6533.18.5"
83,41,Male,Suite 61,4/2/2020,2/16/2020,pro,1/22/2020,3/7/2021,392.87,10/25/2020,78,medium,Sharp,1.8.2,healthy snacks,69.4,6/14/2021,subscription fees,"Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
